date,hdax_pct,new_cases_pct,stringency_diff,Monday,Tuesday,Wednesday,Thursday
2020-10-01,0.0013366586097042735,0.07534807534807535,0.0,0,0,0,1
2020-10-02,-0.0034871637403207033,0.07958872810357959,0.0,0,0,0,0
2020-10-05,0.011860470424431857,0.09347442680776014,0.0,1,0,0,0
2020-10-06,0.004408584262186054,-0.20838709677419354,0.0,0,1,0,0
2020-10-07,0.0006330490928870012,0.6340668296658517,0.0,0,0,1,0
2020-10-08,0.008681734270756684,0.19800498753117207,0.0,0,0,0,1
2020-10-09,0.0019330658563552038,-0.05203996669442131,0.0,0,0,0,0
2020-10-12,0.006377913957152052,0.4363197189284146,0.0,1,0,0,0
2020-10-13,-0.009322115716157526,-0.3175355450236967,0.0,0,1,0,0
2020-10-14,0.00036475467463742287,0.6068548387096774,0.0,0,0,1,0
2020-10-15,-0.022877922714121215,0.06231702216645755,9.259999999999998,0,0,0,1
2020-10-16,0.015337965059805045,0.00984251968503937,0.0,0,0,0,0
2020-10-19,-0.0029710345175856757,0.0912280701754386,0.0,1,0,0,0
2020-10-20,-0.008451457232699938,0.015005359056806002,0.0,0,1,0,0
2020-10-21,-0.015395355568861936,0.44679103602018067,0.0,0,0,1,0
2020-10-22,-0.0008617857122269182,-0.5173140864487876,1.8500000000000014,0,0,0,1
2020-10-23,0.007570927867764749,1.2641129032258065,0.0,0,0,0,0
2020-10-26,-0.03796243409647582,-0.06797269219352924,0.0,1,0,0,0
2020-10-27,-0.008249508957800071,0.04785031847133758,0.0,0,1,0,0
2020-10-28,-0.03863489053197618,0.2310614694931996,0.0,0,0,1,0
2020-10-29,0.002050734612467394,0.15621528206394272,0.0,0,0,0,1
2020-10-30,-0.0034887705198891916,0.03464474456840869,0.0,0,0,0,0
2020-11-02,0.018130099090369167,0.3028583221545764,1.3900000000000006,1,0,0,0
2020-11-03,0.0246661140278162,-0.7016869950894978,0.0,0,1,0,0
2020-11-04,0.020864794573085887,3.1789459710606662,0.0,0,0,1,0
2020-11-05,0.017955284224738282,-0.2833227445997459,0.0,0,0,0,1
2020-11-06,-0.0068406256757730585,0.011479987589202606,0.0,0,0,0,0
2020-11-09,0.0433862433862433,-0.7141980718667835,0.0,1,0,0,0
2020-11-10,0.006022587834622989,3.0703771849126036,0.0,0,1,0,0
2020-11-11,0.006601919728732275,-0.1561758390778619,0.0,0,0,1,0
2020-11-12,-0.010497364324897595,0.10432569974554708,0.0,0,0,0,1
2020-11-13,0.0029128532077482955,-0.10012935564718248,0.0,0,0,0,0
2020-11-16,0.0057284932318503266,-0.345042900139257,0.0,1,0,0,0
2020-11-17,-0.0013283009310494315,0.7991083676268862,0.0,0,1,0,0
2020-11-18,0.005218275818818552,-0.09545957073691434,0.0,0,0,1,0
